App Id,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Price,Size
com.l1inc.yamahacartgps,3.1,23,"10,000+",10000,24243,0,4.1M
com.kingzapps.datastructuremcqs,4,18,"1,000+",1000,1935,0,10M
com.andromo.dev560918.app646484,4.1,11,"5,000+",5000,5809,0,5.5M
com.AutoLean.puregas,2.1,852,"100,000+",100000,142327,0,16M
com.setesedition.totalstages,3.9,7,"1,000+",1000,3236,0,4.6M
com.promes.eye,0,0,"5,000+",5000,9111,0,16M
com.coimbatore_musicals,0,0,50+,50,57,0,4.8M
com.perfectgym.perfectgymgo2.triberussia,4.6,10,100+,100,229,0,40M
com.stl.fazzaco,5,156,"10,000+",10000,11354,0,23M
com.uniqueundead.love,4.2,115,"10,000+",10000,12415,0,1.2M
com.ksm.souqpay,0,0,50+,50,92,0,9.0M
neo.chatapp.application,0,0,5+,5,8,0,3.8M
com.errands.customer,3.4,5,"1,000+",1000,3251,0,15M
com.duo.cylinder,5,5,"1,000+",1000,1215,0,17M
com.Toddlerama.Instruments2,0,0,100+,100,492,0,34M
com.IdleGame.DailyFarm,4,346,"10,000+",10000,28409,0,63M
com.magzter.altagamamotor,4.3,11,500+,500,995,0,11M
com.vendor.foodcyclon,0,0,100+,100,128,0,16M
com.oml.invatamanimalele,0,0,5+,5,9,0,19M
com.reverbs.doublepath,4.9,7,10+,10,24,0,22M
com.zabuzalabs.car_racing_ar,3.4,1290,"100,000+",100000,269845,0,36M
nl.mijnbezorgapp.kid_182,0,0,100+,100,118,0,3.4M
com.infinitylovesatl,0,0,100+,100,425,0,17M
com.gcpadm.hiphopradio,0,0,100+,100,242,0,3.9M
com.averta.riceproject,4.3,6,500+,500,921,0,12M
kr.go.suncheon.ctcard,4.2,14,"10,000+",10000,13026,0,2.4M
com.nomconv.owner.chkwifi,0,0,10+,10,37,0,3.0M
com.hnakra.chaptertoday,0,0,10+,10,10,0,16M
com.iw.timeinvestment,4.7,14,100+,100,278,0,2.7M
com.ggs.impossible.bicycle.bmxracer.stunts.tracks,0,0,"1,000+",1000,3900,0,31M
com.freeunblock.fastvpn.vpnmaster.vpnunblockwebsites,3.9,7,"1,000+",1000,1099,0,6.6M
charli.calculaitor,0,0,10+,10,31,0,2.8M
ru.nika.android,4.6,27,"10,000+",10000,18181,0,57M
com.vaneappsolution.callernamephonecall,0,0,10+,10,10,0,14M
com.alex.kele,0,0,10+,10,11,0,2.3M
com.eshiksa.bbsa,0,0,5+,5,8,0,20M
com.radiosamfm.radiofmromania,0,0,50+,50,53,0,7.5M
com.online.careershub,4.8,9,100+,100,411,0,13M
com.logitdnvgl.logit,0,0,100+,100,379,0,3.8M
com.live.keyboard.reindeer,0,0,100+,100,487,0,5.4M
com.playrmakr.totalsoccer,3.1,641,"50,000+",50000,77433,0,86M
co.sgbuilder.ringtonestars123.oppoK3oppoF11pro,3.9,29,"10,000+",10000,12733,0,9.2M
com.guillemot.djuced,2.6,388,"10,000+",10000,31358,0,Varies with device
com.mapyourempire.www.myelivechat,2.9,15,500+,500,631,0,2.9M
com.ugandahistory.historyuganda.kas,0,0,100+,100,202,0,2.6M
com.grvinv.app.grvinvestment,0,0,10+,10,19,0,9.2M
com.aptsoexports.aptso,4.9,20,500+,500,728,0,3.8M
app.co.kunbi,0,0,100+,100,107,0,7.3M
com.moth.connect,0,0,5+,5,8,0,142M
com.aircontioner.senville,2.2,67,"5,000+",5000,5699,0,21M
ru.kih.transport.kuban,2,60,"5,000+",5000,5118,0,2.5M
com.cxzh.cooler,4.5,17130,"500,000+",500000,820680,0,16M
com.parudi.tap.the.globe,4.1,243,"10,000+",10000,15966,0,8.1M
